employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-71070189,Emily,Joyce,Female,New York,New York City,2017-02-08,IT,IT Support Specialist,High School,63641,Satisfactory,No,1975-10-13,2017-08-07
00-84593961,Bruce,Chandler,Male,New York,Buffalo,2022-11-07,Sales,Sales Representative,Bachelor,64311,Satisfactory,No,2004-09-24,2024-01-21
00-35487660,Michelle,Wright,Female,New York,Rochester,2017-03-15,Sales,Sales Representative,Bachelor,64141,Satisfactory,Yes,1999-05-13,2017-09-11
00-82772208,Amanda,Taylor,Male,New York,Buffalo,2016-03-12,Finance,Accountant,Bachelor,90489,Satisfactory,Yes,1998-04-17,2016-09-08
00-16729990,Joshua,Wright,Male,Virginia,Norfolk,2020-12-24,Operations,Logistics Coordinator,Bachelor,63688,Satisfactory,No,1990-11-17,2024-10-23
00-81286543,Charles,Morton,Male,New York,New York City,2017-11-29,IT,Software Developer,Bachelor,103317,Excellent,No,1970-07-02,2021-12-10
00-34941004,Andrea,Williams,Female,Pennsylvania,Pittsburgh,2016-07-28,Operations,Logistics Coordinator,Bachelor,56179,Good,No,1988-10-04,2022-01-29
00-41568532,Mary,Novak,Female,New York,Buffalo,2019-12-26,Finance,Financial Analyst,PhD,99979,Needs Improvement,Yes,1973-06-15,2020-06-23
00-87701200,Karen,Young,Female,New York,Buffalo,2020-06-06,IT,IT Support Specialist,High School,57806,Satisfactory,No,1982-03-30,2021-08-19
00-66267415,Todd,Lewis,Female,New York,New York City,2022-06-05,Operations,Operations Analyst,Bachelor,68053,Excellent,No,1982-03-27,2022-12-02
00-52462441,Rachel,Martin,Female,Michigan,Detroit,2024-01-01,IT,Software Developer,Bachelor,100197,Satisfactory,No,1988-11-13,2024-06-29
00-52169044,Tricia,Baker,Male,New York,Rochester,2017-11-01,IT,System Administrator,Master,63391,Good,No,1990-09-03,2018-04-30
00-96637649,Kristen,Mitchell,Female,New York,Buffalo,2017-09-28,Operations,Operations Analyst,Bachelor,68608,Satisfactory,Yes,1998-07-05,2018-03-27
00-19736572,Susan,Cowan,Female,New York,New York City,2015-08-04,Customer Service,Customer Service Representative,High School,58930,Satisfactory,No,2001-09-02,2021-05-12
00-23419256,Dorothy,Tucker,Female,New York,Buffalo,2016-03-14,Operations,Logistics Coordinator,Bachelor,57533,Satisfactory,No,1988-06-28,2024-07-19
00-45594597,Kenneth,Novak,Female,New York,Rochester,2017-08-13,Customer Service,Support Specialist,High School,60959,Satisfactory,No,1976-07-08,2024-08-13
00-42787299,Jill,Brown,Male,New York,Rochester,2018-05-02,Operations,Logistics Coordinator,Bachelor,61100,Satisfactory,Yes,1997-02-19,2022-12-30
00-82909480,Brian,Silva,Female,New York,New York City,2022-07-15,Operations,Inventory Specialist,Bachelor,52469,Satisfactory,No,1990-08-05,2023-01-11
00-97775215,Samantha,Schmidt,Male,New York,New York City,2020-01-23,Customer Service,Help Desk Technician,Bachelor,80290,Good,No,1982-11-11,2020-11-18
00-84437458,Susan,Miller,Female,New York,New York City,2017-03-14,Sales,Sales Representative,Bachelor,60318,Good,Yes,2002-08-16,2019-06-08
00-28024248,Casey,Jones,Male,New York,Buffalo,2017-12-01,Operations,Inventory Specialist,High School,68049,Satisfactory,Yes,1977-02-11,2018-09-12
00-84252420,Joe,Wilson,Male,New York,Rochester,2017-12-12,Customer Service,Support Specialist,High School,63028,Excellent,No,1979-03-11,2018-06-10
00-38270233,Ashley,Riley,Male,New York,New York City,2022-01-16,Customer Service,Customer Service Representative,Bachelor,69804,Good,No,1974-06-06,2022-07-15
00-95125977,Christine,Barnes,Male,New York,Rochester,2023-08-15,Sales,Sales Specialist,Master,70328,Excellent,No,1990-04-16,2024-02-11
00-43704923,Annette,Stewart,Male,New York,Buffalo,2023-04-12,Sales,Sales Representative,Bachelor,76454,Good,No,1982-07-27,2023-10-09
00-95132217,James,Moran,Female,New York,Rochester,2019-04-03,Sales,Sales Representative,Bachelor,66003,Good,No,1998-09-17,2020-04-28
00-10475894,Joseph,Anderson,Female,New York,Buffalo,2018-09-08,Customer Service,Help Desk Technician,Bachelor,77577,Good,No,1995-12-09,2019-03-07
00-45159040,Kevin,Stewart,Male,Virginia,Richmond,2017-10-19,Operations,Logistics Coordinator,Bachelor,59138,Good,No,1990-10-29,2024-11-21
00-67403166,Shari,Smith,Male,New York,Buffalo,2020-08-29,Sales,Sales Representative,Bachelor,82818,Excellent,No,1977-07-19,2021-02-25
00-30005727,Yolanda,Ferrell,Female,Florida,Miami,2020-01-29,Sales,Sales Representative,Bachelor,57864,Good,No,1998-06-16,2023-10-11
00-84158663,Amanda,Wagner,Female,New York,Buffalo,2017-02-21,IT,Software Developer,Master,92404,Needs Improvement,No,2000-02-17,2018-11-06
00-51373735,Sarah,Ibarra,Male,New York,New York City,2018-12-08,Customer Service,Support Specialist,Bachelor,69148,Good,No,1982-01-31,2023-05-22
00-38195995,John,Mitchell,Female,New York,Buffalo,2022-06-20,Sales,Sales Representative,Bachelor,66750,Satisfactory,No,1987-06-28,2022-12-17
00-57469942,Martha,Warner,Male,Illinois,Chicago,2023-08-26,Customer Service,Customer Service Representative,Bachelor,62693,Needs Improvement,No,1986-11-02,2024-02-22
00-30743797,Tonya,Roman,Male,North Carolina,Raleigh,2024-07-24,Marketing,Content Creator,Bachelor,63300,Good,Yes,1985-11-17,2025-01-20
00-31810617,Alan,Montoya,Male,Michigan,Grand Rapids,2024-04-26,Customer Service,Customer Service Representative,Bachelor,70104,Satisfactory,Yes,1974-04-12,2024-10-23
00-13326769,Sarah,Garcia,Male,New York,Buffalo,2017-12-08,Customer Service,Customer Service Representative,Bachelor,68669,Good,No,1972-11-25,2020-09-28
00-65259205,Dennis,Wilson,Female,New York,Rochester,2023-02-11,Customer Service,Customer Service Representative,High School,59643,Excellent,No,1978-07-05,2023-08-10
00-43308443,Julia,Moore,Male,New York,Rochester,2017-04-20,Marketing,Marketing Coordinator,Bachelor,77772,Excellent,No,1992-10-27,2017-10-22
00-61343880,Cassandra,Robbins,Male,New York,Rochester,2023-03-21,Operations,Inventory Specialist,High School,54197,Good,No,2004-08-31,2024-07-12
00-36786211,Grace,Farrell,Female,New York,Rochester,2023-07-16,Operations,Logistics Coordinator,Bachelor,55944,Excellent,No,1986-01-30,2024-01-12
00-50962024,Tracy,Whitehead,Male,Virginia,Richmond,2023-11-25,Sales,Sales Representative,Bachelor,79182,Good,Yes,1976-08-29,2024-05-23
00-13176186,Brent,Walters,Female,New York,New York City,2022-11-19,Operations,Logistics Coordinator,Bachelor,54640,Satisfactory,No,1984-04-30,2023-05-18
00-47393469,Joshua,Smith,Female,Michigan,Detroit,2023-10-27,Finance,Accounts Payable Specialist,Bachelor,64171,Needs Improvement,Yes,1973-07-08,2024-04-24
00-96098221,David,Whitney,Male,New York,Buffalo,2020-03-03,Customer Service,Help Desk Technician,Bachelor,61833,Good,No,1985-04-17,2021-03-15
00-81969657,Joyce,Arnold,Female,New York,Rochester,2018-06-16,Sales,Sales Specialist,PhD,91812,Good,No,1989-09-21,2020-02-25
00-45059710,Ann,Rodriguez,Female,New York,Buffalo,2017-12-09,Finance,Accountant,Bachelor,86768,Excellent,No,1972-03-22,2019-04-13
00-24549543,Hannah,Hernandez,Female,New York,New York City,2020-01-14,Operations,Operations Analyst,Master,85773,Good,No,1987-04-24,2023-01-07
00-52101056,Mary,Aguilar,Male,New York,New York City,2019-02-27,Sales,Sales Specialist,Bachelor,78912,Good,No,1973-04-08,2019-08-26
00-61700055,Russell,Williams,Female,New York,Rochester,2023-05-22,Operations,Logistics Coordinator,Bachelor,59021,Good,No,1985-11-09,2023-11-18
00-15957459,Rachel,Flynn,Male,Virginia,Norfolk,2022-12-01,Operations,Logistics Coordinator,Bachelor,70477,Good,No,1970-01-19,2023-05-30
00-82269803,Bill,Howard,Female,Pennsylvania,Allentown,2022-09-22,Sales,Sales Consultant,Master,83567,Good,No,1990-02-27,2024-12-04
00-36445607,John,Garcia,Female,Illinois,Naperville,2018-10-30,Customer Service,Help Desk Technician,High School,58645,Good,No,1984-08-03,2021-10-05
00-54318698,Anita,Baxter,Male,New York,New York City,2021-08-30,IT,IT Support Specialist,High School,67793,Satisfactory,Yes,1984-09-30,2023-11-23
00-26726926,Kara,Frost,Male,Ohio,Cleveland,2022-04-02,Customer Service,Customer Service Representative,High School,58495,Good,No,1990-01-20,2022-09-29
00-51511484,Michelle,Cherry,Female,New York,Buffalo,2022-11-11,Sales,Sales Representative,Bachelor,72250,Satisfactory,No,2003-11-19,2023-05-10
00-49682169,Gregory,Gutierrez,Female,New York,Rochester,2020-03-10,Customer Service,Help Desk Technician,Bachelor,64357,Needs Improvement,No,1992-07-17,2020-09-06
00-99245317,Jill,Cook,Female,New York,New York City,2024-12-27,Customer Service,Help Desk Technician,Bachelor,73198,Excellent,Yes,2001-05-19,2025-06-25
00-33357554,Robert,Santiago,Male,New York,Rochester,2021-10-13,Operations,Inventory Specialist,Bachelor,59292,Good,No,1985-10-06,2022-04-11
00-83542887,Lisa,Adams,Female,New York,Rochester,2023-11-02,Customer Service,Support Specialist,Bachelor,60431,Good,No,1996-12-16,2024-04-30
00-38210242,Jacqueline,Reyes,Male,Florida,Orlando,2019-01-16,Customer Service,Help Desk Technician,High School,64999,Satisfactory,Yes,1993-02-28,2019-07-15
00-97873101,Michele,Walker,Female,New York,Rochester,2018-11-14,Operations,Logistics Coordinator,Bachelor,58149,Satisfactory,No,1974-11-29,2021-02-23
00-38682516,Samantha,Bailey,Male,New York,Rochester,2020-11-14,Marketing,Marketing Coordinator,Bachelor,74079,Satisfactory,Yes,1996-04-05,2021-05-13
00-98429450,Laura,Perez,Male,New York,Rochester,2016-01-10,Marketing,Marketing Manager,Master,101023,Excellent,Yes,1968-06-25,2023-10-26
00-94951883,Donna,Ross,Male,New York,New York City,2021-04-19,Customer Service,Customer Service Representative,Bachelor,70727,Needs Improvement,No,1984-11-05,2021-10-16
00-41523529,Michelle,Rasmussen,Female,New York,New York City,2022-04-19,Sales,Sales Representative,Bachelor,68444,Satisfactory,No,1966-02-09,2024-01-22
00-36726767,Michael,Hicks,Male,New York,Buffalo,2017-09-21,Operations,Logistics Coordinator,Bachelor,65734,Good,No,1997-10-05,2020-04-10
00-73771720,Tina,Herrera,Female,New York,Rochester,2021-01-11,Operations,Inventory Specialist,Bachelor,55717,Satisfactory,Yes,1982-09-24,2021-07-10
00-65625330,Darrell,Waller,Male,Illinois,Chicago,2023-03-11,Customer Service,Customer Service Representative,High School,65658,Satisfactory,No,1974-03-08,2023-09-07
00-61536717,Beverly,Terrell,Female,New York,Buffalo,2020-01-15,Sales,Sales Representative,Bachelor,60349,Needs Improvement,No,1993-05-22,2020-07-13
00-98054615,Daniel,Hamilton,Female,New York,Rochester,2022-10-10,Marketing,SEO Specialist,High School,81754,Needs Improvement,No,1966-06-17,2023-04-08
00-67062156,Kristin,Graham,Female,New York,New York City,2017-07-18,Sales,Sales Representative,Bachelor,71972,Excellent,No,1965-07-05,2020-10-22
00-72350830,Darrell,Lam,Male,New York,New York City,2016-03-14,Operations,Operations Analyst,Bachelor,70249,Good,Yes,1997-07-12,2019-05-31
00-26288475,Jonathan,Fletcher,Female,North Carolina,Raleigh,2019-01-01,Operations,Logistics Coordinator,Bachelor,54607,Excellent,No,1990-11-24,2024-03-26
00-81287314,April,Drake,Male,North Carolina,Charlotte,2024-09-23,Sales,Sales Representative,Bachelor,70200,Good,No,1977-02-25,2025-03-22
00-69401199,Jennifer,Harmon,Female,New York,New York City,2021-09-18,Sales,Sales Representative,Bachelor,66890,Satisfactory,Yes,1981-07-07,2024-10-22
00-67276174,James,Reynolds,Male,New York,New York City,2023-09-15,IT,System Administrator,Master,98862,Good,No,1982-09-08,2024-03-13
00-31361812,Samantha,Hanson,Male,New York,Buffalo,2022-09-15,Customer Service,Support Specialist,Bachelor,65195,Good,No,1977-06-14,2023-03-14
00-44788100,Melanie,Cortez,Male,New York,Buffalo,2022-04-27,Sales,Sales Consultant,Master,97474,Excellent,No,1970-02-20,2022-10-24
00-79967676,William,Estrada,Male,Michigan,Grand Rapids,2019-05-07,Operations,Logistics Coordinator,Bachelor,62317,Good,No,1979-05-09,2019-11-03
00-69038700,Richard,Phillips,Male,New York,Buffalo,2016-02-19,Operations,Inventory Specialist,Bachelor,66909,Good,No,1979-11-12,2019-10-17
00-46468984,James,Ortega,Male,New York,Buffalo,2018-05-28,Operations,Inventory Specialist,Bachelor,71952,Good,Yes,1980-07-12,2021-08-18
00-28572252,Erica,Orr,Female,New York,Rochester,2017-08-28,Operations,Logistics Coordinator,Bachelor,54376,Excellent,No,1994-10-29,2018-11-15
00-30509175,Ashley,Sullivan,Male,New York,New York City,2022-11-20,Operations,Logistics Coordinator,Bachelor,69143,Satisfactory,No,1968-08-09,2023-05-19
00-64707061,Aaron,Mitchell,Male,New York,Buffalo,2018-06-16,Sales,Sales Specialist,Master,57902,Good,No,1979-02-19,2021-10-29
00-18357162,Kristi,Lawson,Female,Pennsylvania,Philadelphia,2017-05-06,Operations,Logistics Coordinator,Bachelor,61226,Good,Yes,1975-02-01,2018-01-19
00-88393811,Steven,Ramos,Male,Michigan,Detroit,2024-03-23,Customer Service,Support Specialist,Bachelor,69510,Excellent,Yes,1989-03-10,2024-09-19
00-87267850,William,Leon,Female,New York,New York City,2018-11-06,Operations,Inventory Specialist,High School,57231,Excellent,No,2004-06-30,2019-05-05
00-50079111,Jill,Hopkins,Female,Pennsylvania,Philadelphia,2022-04-21,Customer Service,Help Desk Technician,High School,79677,Good,No,1974-12-13,2022-10-18
00-83300637,Zachary,Schultz,Male,New York,New York City,2023-05-11,Operations,Logistics Coordinator,Bachelor,70850,Good,No,1965-12-19,2023-11-07
00-39450273,Clarence,Crane,Male,Florida,Miami,2017-04-02,Operations,Operations Analyst,Master,67536,Good,Yes,1982-03-17,2017-09-29
00-62191530,Emily,Walker,Female,New York,Buffalo,2018-03-19,IT,IT Support Specialist,Bachelor,58652,Good,No,1993-09-02,2022-10-05
00-64266464,Dylan,Williams,Male,New York,Buffalo,2022-07-04,Operations,Logistics Coordinator,Bachelor,68253,Good,No,1971-03-08,2022-12-31
00-93517915,Cheryl,Mack,Female,New York,New York City,2020-06-25,Sales,Sales Representative,Bachelor,60785,Satisfactory,Yes,1990-05-15,2020-12-22
00-85751409,Robert,Soto,Female,New York,New York City,2022-03-17,Customer Service,Customer Service Manager,Master,68486,Satisfactory,No,1985-03-16,2022-09-13
00-67527432,Jennifer,Cruz,Male,Michigan,Detroit,2017-06-05,IT,Software Developer,Master,102539,Satisfactory,No,1960-05-25,2023-08-03
00-16749089,John,Douglas,Male,Michigan,Grand Rapids,2017-01-03,IT,Software Developer,Master,93159,Good,No,1982-04-27,2024-08-27
00-71028710,Patricia,Dalton,Male,Michigan,Grand Rapids,2018-12-10,Customer Service,Customer Service Representative,Bachelor,65581,Excellent,No,1976-06-25,2022-07-19
00-66581473,Daniel,Coleman,Female,New York,Rochester,2017-03-10,Sales,Sales Consultant,Master,92085,Good,No,1985-04-06,2021-08-09
00-12601580,Linda,Dominguez,Female,New York,Buffalo,2022-06-30,IT,System Administrator,Bachelor,84188,Needs Improvement,No,1961-05-16,2022-12-27
00-40094589,Brent,Wright,Male,New York,Buffalo,2022-11-26,Finance,Accounts Payable Specialist,Bachelor,65867,Good,No,1975-05-19,2023-05-25
00-14164775,David,Anderson,Male,Ohio,Columbus,2024-06-29,Sales,Sales Consultant,Bachelor,76423,Satisfactory,No,1984-11-19,2024-12-26
00-12735359,Elizabeth,Travis,Male,New York,New York City,2021-08-20,Customer Service,Support Specialist,High School,59357,Good,No,1994-10-13,2023-03-26
00-73560289,Logan,Fischer,Female,New York,Rochester,2022-06-21,Finance,Accountant,Bachelor,76486,Good,No,1990-03-23,2022-12-18
00-72415804,Cheyenne,Ball,Female,Illinois,Chicago,2022-07-16,Customer Service,Support Specialist,High School,65253,Needs Improvement,No,1971-06-25,2023-01-12
00-91321540,Ronald,Meadows,Male,New York,Rochester,2021-06-23,Operations,Inventory Specialist,Bachelor,68076,Good,Yes,1983-05-23,2024-06-12
00-25372341,Phyllis,Manning,Female,Illinois,Aurora,2023-07-04,Customer Service,Support Specialist,High School,62047,Good,Yes,1982-09-19,2023-12-31
00-24508768,Shannon,Walton,Female,New York,Rochester,2020-11-22,Marketing,Marketing Coordinator,Bachelor,64470,Good,No,1979-06-11,2021-05-21
00-60372847,Dana,Cannon,Male,New York,New York City,2019-07-22,IT,Software Developer,Bachelor,92670,Good,No,1985-09-09,2020-01-18
00-20200074,Todd,Allen,Female,New York,Rochester,2020-06-19,Sales,Sales Specialist,Bachelor,77216,Good,No,2001-03-20,2021-01-09
